time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-13 00:00:00+00:00,8,4,1,1
2026-01-14 00:00:00+00:00,18,6,0,0
2026-01-15 00:00:00+00:00,14,6,0,0
2026-01-16 00:00:00+00:00,14,6,1,1
2026-01-17 00:00:00+00:00,9,5,0,0
2026-01-18 00:00:00+00:00,9,5,0,0
2026-01-19 00:00:00+00:00,12,7,0,0
2026-01-20 00:00:00+00:00,4,4,3,1
2026-01-21 00:00:00+00:00,17,8,0,0
2026-01-22 00:00:00+00:00,11,6,0,0
2026-01-23 00:00:00+00:00,14,6,1,1
2026-01-24 00:00:00+00:00,14,6,0,0
2026-01-25 00:00:00+00:00,11,6,0,0
2026-01-26 00:00:00+00:00,13,8,6,1
