time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-09 00:00:00+00:00,22,9,0,0
2026-07-10 00:00:00+00:00,13,4,0,0
2026-07-11 00:00:00+00:00,3,2,0,0
2026-07-12 00:00:00+00:00,10,5,0,0
2026-07-13 00:00:00+00:00,9,4,0,0
2026-07-14 00:00:00+00:00,1,1,0,0
2026-07-15 00:00:00+00:00,13,8,0,0
2026-07-16 00:00:00+00:00,15,6,0,0
2026-07-17 00:00:00+00:00,27,10,5,1
2026-07-18 00:00:00+00:00,104,48,29,2
2026-07-19 00:00:00+00:00,46,27,12,1
2026-07-20 00:00:00+00:00,16,8,2,1
2026-07-21 00:00:00+00:00,29,12,25,1
2026-07-22 00:00:00+00:00,10,5,6,3
