time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,14,4,1,1
2026-06-02 00:00:00+00:00,10,4,0,0
2026-06-03 00:00:00+00:00,2,2,0,0
2026-06-04 00:00:00+00:00,2,2,0,0
2026-06-05 00:00:00+00:00,39,27,0,0
2026-06-06 00:00:00+00:00,15,5,0,0
2026-06-07 00:00:00+00:00,11,5,0,0
2026-06-08 00:00:00+00:00,19,9,0,0
2026-06-09 00:00:00+00:00,20,9,1,1
2026-06-10 00:00:00+00:00,18,8,0,0
2026-06-11 00:00:00+00:00,2,2,1,1
2026-06-12 00:00:00+00:00,26,11,0,0
2026-06-13 00:00:00+00:00,18,8,0,0
2026-06-14 00:00:00+00:00,22,6,0,0
